2026-01-15 02:04:53,067 DEBUG Loaded 22 labels from labels.json
2026-01-15 02:04:53,067 INFO Overlay initialized
2026-01-15 02:04:53,067 INFO TESSERACT_AVAILABLE=True EASYOCR_AVAILABLE=False
2026-01-15 02:05:00,434 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,435 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,494 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,494 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,558 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,558 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,618 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,618 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,678 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,678 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,738 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,739 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,798 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,798 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,862 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,862 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,928 DEBUG poll_mouse at (41, 48)
2026-01-15 02:05:00,928 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,982 DEBUG poll_mouse at (40, 48)
2026-01-15 02:05:00,982 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,042 DEBUG poll_mouse at (40, 48)
2026-01-15 02:05:01,042 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,102 DEBUG poll_mouse at (40, 49)
2026-01-15 02:05:01,102 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,166 DEBUG poll_mouse at (42, 54)
2026-01-15 02:05:01,167 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,226 DEBUG poll_mouse at (45, 59)
2026-01-15 02:05:01,227 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,286 DEBUG poll_mouse at (47, 61)
2026-01-15 02:05:01,286 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,350 DEBUG poll_mouse at (47, 62)
2026-01-15 02:05:01,350 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,410 DEBUG poll_mouse at (47, 62)
2026-01-15 02:05:01,410 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,470 DEBUG poll_mouse at (47, 62)
2026-01-15 02:05:01,471 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,530 DEBUG poll_mouse at (47, 63)
2026-01-15 02:05:01,530 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,590 DEBUG poll_mouse at (48, 65)
2026-01-15 02:05:01,590 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,654 DEBUG poll_mouse at (49, 65)
2026-01-15 02:05:01,654 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,714 DEBUG poll_mouse at (49, 65)
2026-01-15 02:05:01,715 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:01,774 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:01,774 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:01,834 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:01,835 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:01,894 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:01,895 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:01,958 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:01,958 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,018 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,018 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,077 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,078 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,137 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,137 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,198 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,198 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,262 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,262 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,322 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,322 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,382 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,382 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,442 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,442 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,501 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,502 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,566 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,567 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,626 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,626 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,686 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,686 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,750 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,751 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,810 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,810 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,870 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,870 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,930 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,931 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:02,990 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:02,991 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,054 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,054 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,114 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,114 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,174 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,175 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,234 DEBUG poll_mouse at (50, 65)
2026-01-15 02:05:03,235 DEBUG Label hit idx=9 text=新建工程：创建一个新的 HEC‑RAS 工程文件
2026-01-15 02:05:03,236 ERROR Translation failed in worker
Traceback (most recent call last):
  File "/Users/yy/Documents/yykf/heczn/overlay_ocr_translate.py", line 77, in ocr_and_translate
    res = translator.translate(text, src="en", dest="zh-cn")
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/googletrans/client.py", line 194, in translate
    data, response = self._translate(text, dest, src)
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/googletrans/client.py", line 120, in _translate
    r = self.client.post(url, params=params, data=data)
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpx/_client.py", line 824, in post
    return self.request(
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpx/_client.py", line 600, in request
    return self.send(
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpx/_client.py", line 620, in send
    response = self.send_handling_redirects(
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpx/_client.py", line 647, in send_handling_redirects
    response = self.send_handling_auth(
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpx/_client.py", line 684, in send_handling_auth
    response = self.send_single_request(request, timeout)
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpx/_client.py", line 714, in send_single_request
    ) = transport.request(
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpcore/_sync/connection_pool.py", line 152, in request
    response = connection.request(
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpcore/_sync/connection.py", line 65, in request
    self.socket = self._open_socket(timeout)
  File "/Users/yy/Library/Python/3.9/lib/python/site-packages/httpcore/_sync/connection.py", line 85, in _open_socket
    return self.backend.open_tcp_stream(
